Date : 2023-11-25 15:45:22
Directory : h:\DA12\15_modul15\join2\src
Total : 112 files,  10533 codes, 384 comments, 2217 blanks, all 13134 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| h:\DA12\15_modul15\join2\src\app\info-help\info-help.component.scss                                                                        | SCSS       |         24 |          0 |          6 |         30 |
| h:\DA12\15_modul15\join2\src\app\info-help\info-help.component.spec.ts                                                                     | TypeScript |         17 |          0 |          5 |         22 |
| h:\DA12\15_modul15\join2\src\app\info-help\info-help.component.ts                                                                          | TypeScript |          8 |          0 |          3 |         11 |
| h:\DA12\15_modul15\join2\src\app\info-legal-notice\info-legal-notice.component.html                                                        | HTML       |          1 |          0 |          1 |          2 |
| h:\DA12\15_modul15\join2\src\app\info-legal-notice\info-legal-notice.component.scss                                                        | SCSS       |          0 |          0 |          1 |          1 |
| h:\DA12\15_modul15\join2\src\app\info-legal-notice\info-legal-notice.component.spec.ts                                                     | TypeScript |         17 |          0 |          5 |         22 |
| h:\DA12\15_modul15\join2\src\app\info-legal-notice\info-legal-notice.component.ts                                                          | TypeScript |          8 |          0 |          3 |         11 |
| h:\DA12\15_modul15\join2\src\app\info-privacy-policy\info-privacy-policy.component.html                                                    | HTML       |          6 |          0 |          2 |          8 |
| h:\DA12\15_modul15\join2\src\app\info-privacy-policy\info-privacy-policy.component.scss                                                    | SCSS       |         27 |          0 |          7 |         34 |
| h:\DA12\15_modul15\join2\src\app\info-privacy-policy\info-privacy-policy.component.spec.ts                                                 | TypeScript |         17 |          0 |          5 |         22 |
| h:\DA12\15_modul15\join2\src\app\info-privacy-policy\info-privacy-policy.component.ts                                                      | TypeScript |          8 |          0 |          3 |         11 |
| h:\DA12\15_modul15\join2\src\app\main-add-task\main-add-task.component.html                                                                | HTML       |        160 |          0 |         26 |        186 |
| h:\DA12\15_modul15\join2\src\app\main-add-task\main-add-task.component.scss                                                                | SCSS       |        717 |          2 |        155 |        874 |
| h:\DA12\15_modul15\join2\src\app\main-add-task\main-add-task.component.spec.ts                                                             | TypeScript |         18 |          0 |          6 |         24 |
| h:\DA12\15_modul15\join2\src\app\main-add-task\main-add-task.component.ts                                                                  | TypeScript |        329 |          3 |         41 |        373 |
| h:\DA12\15_modul15\join2\src\app\main-board\main-board.component.html                                                                      | HTML       |        219 |         30 |         55 |        304 |
| h:\DA12\15_modul15\join2\src\app\main-board\main-board.component.scss                                                                      | SCSS       |        427 |         20 |         86 |        533 |
| h:\DA12\15_modul15\join2\src\app\main-board\main-board.component.spec.ts                                                                   | TypeScript |         18 |          0 |          6 |         24 |
| h:\DA12\15_modul15\join2\src\app\main-board\main-board.component.ts                                                                        | TypeScript |        326 |         59 |         54 |        439 |
| h:\DA12\15_modul15\join2\src\app\main-contacts\main-contacts.component.html                                                                | HTML       |         89 |          0 |         11 |        100 |
| h:\DA12\15_modul15\join2\src\app\main-contacts\main-contacts.component.scss                                                                | SCSS       |        333 |         14 |         76 |        423 |
| h:\DA12\15_modul15\join2\src\app\main-contacts\main-contacts.component.spec.ts                                                             | TypeScript |         18 |          0 |          6 |         24 |
| h:\DA12\15_modul15\join2\src\app\main-contacts\main-contacts.component.ts                                                                  | TypeScript |        133 |          1 |         19 |        153 |
| h:\DA12\15_modul15\join2\src\app\main-dialog-add-contact\main-dialog-add-contact.component.html                                            | HTML       |         75 |          0 |         13 |         88 |
| h:\DA12\15_modul15\join2\src\app\main-dialog-add-contact\main-dialog-add-contact.component.scss                                            | SCSS       |        221 |          1 |         47 |        269 |
| h:\DA12\15_modul15\join2\src\app\main-dialog-add-contact\main-dialog-add-contact.component.spec.ts                                         | TypeScript |         17 |          0 |          5 |         22 |
| h:\DA12\15_modul15\join2\src\app\main-dialog-add-contact\main-dialog-add-contact.component.ts                                              | TypeScript |         97 |          1 |         15 |        113 |
| h:\DA12\15_modul15\join2\src\app\main-dialog-add-task\main-dialog-add-task.component.html                                                  | HTML       |        172 |          0 |         25 |        197 |
| h:\DA12\15_modul15\join2\src\app\main-dialog-add-task\main-dialog-add-task.component.scss                                                  | SCSS       |        731 |          2 |        158 |        891 |
| h:\DA12\15_modul15\join2\src\app\main-dialog-add-task\main-dialog-add-task.component.spec.ts                                               | TypeScript |         17 |          0 |          5 |         22 |
| h:\DA12\15_modul15\join2\src\app\main-dialog-add-task\main-dialog-add-task.component.ts                                                    | TypeScript |        338 |          4 |         41 |        383 |
| h:\DA12\15_modul15\join2\src\app\main-dialog-edit-contact\main-dialog-edit-contact.component.html                                          | HTML       |         76 |          2 |         14 |         92 |
| h:\DA12\15_modul15\join2\src\app\main-dialog-edit-contact\main-dialog-edit-contact.component.scss                                          | SCSS       |        226 |          1 |         48 |        275 |
| h:\DA12\15_modul15\join2\src\app\main-dialog-edit-contact\main-dialog-edit-contact.component.spec.ts                                       | TypeScript |         17 |          0 |          5 |         22 |
| h:\DA12\15_modul15\join2\src\app\main-dialog-edit-contact\main-dialog-edit-contact.component.ts                                            | TypeScript |         96 |          3 |         14 |        113 |
| h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit-edit-view\main-dialog-task-details-and-edit-edit-view.component.html    | HTML       |        168 |          2 |         26 |        196 |
| h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit-edit-view\main-dialog-task-details-and-edit-edit-view.component.scss    | SCSS       |        731 |          2 |        158 |        891 |
| h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit-edit-view\main-dialog-task-details-and-edit-edit-view.component.spec.ts | TypeScript |         17 |          0 |          5 |         22 |
| h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit-edit-view\main-dialog-task-details-and-edit-edit-view.component.ts      | TypeScript |        407 |         33 |         65 |        505 |
| h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit-task-view\main-dialog-task-details-and-edit-task-view.component.html    | HTML       |         69 |          5 |          9 |         83 |
| h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit-task-view\main-dialog-task-details-and-edit-task-view.component.scss    | SCSS       |        242 |          0 |         51 |        293 |
| h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit-task-view\main-dialog-task-details-and-edit-task-view.component.spec.ts | TypeScript |         17 |          0 |          5 |         22 |
| h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit-task-view\main-dialog-task-details-and-edit-task-view.component.ts      | TypeScript |         65 |          3 |         14 |         82 |
| h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit\main-dialog-task-details-and-edit.component.html                        | HTML       |          2 |          0 |          0 |          2 |
| h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit\main-dialog-task-details-and-edit.component.scss                        | SCSS       |          0 |          0 |          1 |          1 |
| h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit\main-dialog-task-details-and-edit.component.spec.ts                     | TypeScript |         17 |          0 |          5 |         22 |
| h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit\main-dialog-task-details-and-edit.component.ts                          | TypeScript |         23 |          0 |          6 |         29 |
| h:\DA12\15_modul15\join2\src\app\main-header-profile-dialog\main-header-profile-dialog.component.html                                      | HTML       |          4 |          0 |          0 |          4 |
| h:\DA12\15_modul15\join2\src\app\main-header-profile-dialog\main-header-profile-dialog.component.scss                                      | SCSS       |         24 |          2 |          6 |         32 |
| h:\DA12\15_modul15\join2\src\app\main-header-profile-dialog\main-header-profile-dialog.component.spec.ts                                   | TypeScript |         17 |          0 |          5 |         22 |
| h:\DA12\15_modul15\join2\src\app\main-header-profile-dialog\main-header-profile-dialog.component.ts                                        | TypeScript |         32 |          2 |          5 |         39 |
| h:\DA12\15_modul15\join2\src\app\main-header\main-header.component.html                                                                    | HTML       |          8 |          0 |          0 |          8 |
| h:\DA12\15_modul15\join2\src\app\main-header\main-header.component.scss                                                                    | SCSS       |         51 |          1 |         10 |         62 |
| h:\DA12\15_modul15\join2\src\app\main-header\main-header.component.spec.ts                                                                 | TypeScript |         18 |          0 |          6 |         24 |
| h:\DA12\15_modul15\join2\src\app\main-header\main-header.component.ts                                                                      | TypeScript |         45 |          0 |          7 |         52 |
| h:\DA12\15_modul15\join2\src\app\main-summary\main-summary.component.html                                                                  | HTML       |         74 |          0 |          6 |         80 |
| h:\DA12\15_modul15\join2\src\app\main-summary\main-summary.component.scss                                                                  | SCSS       |        509 |          2 |        115 |        626 |
| h:\DA12\15_modul15\join2\src\app\main-summary\main-summary.component.spec.ts                                                               | TypeScript |         18 |          0 |          6 |         24 |
| h:\DA12\15_modul15\join2\src\app\main-summary\main-summary.component.ts                                                                    | TypeScript |         61 |          0 |          8 |         69 |
| h:\DA12\15_modul15\join2\src\app\main\main.component.html                                                                                  | HTML       |         47 |          3 |          4 |         54 |
| h:\DA12\15_modul15\join2\src\app\main\main.component.scss                                                                                  | SCSS       |        165 |          0 |         31 |        196 |
| h:\DA12\15_modul15\join2\src\app\main\main.component.spec.ts                                                                               | TypeScript |         18 |          0 |          6 |         24 |
| h:\DA12\15_modul15\join2\src\app\main\main.component.ts                                                                                    | TypeScript |         50 |          3 |          9 |         62 |
| h:\DA12\15_modul15\join2\src\app\services\auth.service.spec.ts                                                                             | TypeScript |         12 |          0 |          5 |         17 |
| h:\DA12\15_modul15\join2\src\app\services\auth.service.ts                                                                                  | TypeScript |         14 |          0 |          5 |         19 |
| h:\DA12\15_modul15\join2\src\app\services\board-comm.service.spec.ts                                                                       | TypeScript |         12 |          0 |          5 |         17 |
| h:\DA12\15_modul15\join2\src\app\services\board-comm.service.ts                                                                            | TypeScript |         19 |          0 |         12 |         31 |
| h:\DA12\15_modul15\join2\src\app\services\main-communication.service.spec.ts                                                               | TypeScript |         12 |          0 |          5 |         17 |
| h:\DA12\15_modul15\join2\src\app\services\main-communication.service.ts                                                                    | TypeScript |         29 |          2 |          9 |         40 |
| h:\DA12\15_modul15\join2\src\app\services\task-data.service.spec.ts                                                                        | TypeScript |         12 |          0 |          5 |         17 |
| h:\DA12\15_modul15\join2\src\app\services\task-data.service.ts                                                                             | TypeScript |         24 |          0 |          6 |         30 |
| h:\DA12\15_modul15\join2\src\app\services\task-details-comm.service.spec.ts                                                                | TypeScript |         12 |          0 |          5 |         17 |
| h:\DA12\15_modul15\join2\src\app\services\task-details-comm.service.ts                                                                     | TypeScript |         16 |          0 |          6 |         22 |
| h:\DA12\15_modul15\join2\src\app\services\user-data.service.spec.ts                                                                        | TypeScript |         12 |          0 |          5 |         17 |
| h:\DA12\15_modul15\join2\src\app\services\user-data.service.ts                                                                             | TypeScript |        175 |          0 |        176 |        351 |
| h:\DA12\15_modul15\join2\src\app\shared\shared.module.ts                                                                                   | TypeScript |          9 |          0 |          4 |         13 |
| h:\DA12\15_modul15\join2\src\app\shared\validators\custom-validators.ts                                                                    | TypeScript |         16 |          0 |          3 |         19 |
| h:\DA12\15_modul15\join2\src\assets\img\favicon\browserconfig.xml                                                                          | XML        |          9 |          0 |          1 |         10 |
| h:\DA12\15_modul15\join2\src\assets\img\favicon\safari-pinned-tab.svg                                                                      | XML        |         33 |          0 |          1 |         34 |
| h:\DA12\15_modul15\join2\src\assets\img\favicon\site.webmanifest                                                                           | JSON       |         19 |          0 |          1 |         20 |
| h:\DA12\15_modul15\join2\src\environments\environment.prod.ts                                                                              | TypeScript |         11 |          0 |          1 |         12 |
| h:\DA12\15_modul15\join2\src\environments\environment.ts                                                                                   | TypeScript |         11 |         11 |          3 |         25 |
| h:\DA12\15_modul15\join2\src\index.html                                                                                                    | HTML       |         22 |          0 |          3 |         25 |
| h:\DA12\15_modul15\join2\src\main.ts                                                                                                       | TypeScript |          9 |          0 |          4 |         13 |
| h:\DA12\15_modul15\join2\src\models\contact.class.ts                                                                                       | TypeScript |          0 |         35 |          2 |         37 |
| h:\DA12\15_modul15\join2\src\models\user.class.ts                                                                                          | TypeScript |         35 |          0 |          3 |         38 |
| h:\DA12\15_modul15\join2\src\polyfills.ts                                                                                                  | TypeScript |          1 |         47 |          6 |         54 |
| h:\DA12\15_modul15\join2\src\styles.scss                                                                                                   | SCSS       |        359 |         32 |         68 |        459 |
| h:\DA12\15_modul15\join2\src\test.ts                                                                                                       | TypeScript |         10 |          2 |          3 |         15 |
| Total                                                                                                                                      |            |     10,533 |        384 |      2,217 |     13,134 |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
